"New Deals (copy 02)","20+ New Deals Just Went Live!! Up to 99% Off!","Lifescript 2","Feb 01, 2014 08:17 pm",Saturday,88449,88402,28,19,47,1,0,6782,7.67%,10113,483,0.55%,553,133,50,0,0,f7b7bd2cb3,638.34%,$31.74,$202.61,531,261,6.2994350282486,1.32%,03:11,1.88%,$0.00,5,0.94%,$0.38,$40.52
"New Deals (copy 01)","20+ New Deals Just Went Live!! Up to 99% Off!","Facebook Sponsored","Feb 01, 2014 08:16 pm",Saturday,7612,7604,7,1,8,0,0,907,11.93%,1422,153,2.01%,171,31,6,0,0,5ef2f272ff,"9,214.45%",$2.73,$251.70,162,37,8.6975308641975,1.23%,06:03,9.26%,$0.00,7,4.32%,$1.55,$35.96
"New Deals","20+ New Deals Just Went Live!! Up to 99% Off!",PetFlow,"Feb 01, 2014 08:15 pm",Saturday,291247,291082,80,85,165,10,4,31492,10.82%,45286,3802,1.31%,4341,274,68,0,0,bd7e65e4fd,"14,569.08%",$104.51,"$15,226.80",4742,1115,8.1906368620835,2.32%,04:06,9.43%,$0.00,216,4.56%,$3.21,$70.49
"Heartland (copy 01)","Private Sale Invitation: 63% off on US-Made Treats.  Hurry.",PetFlow,"Jan 31, 2014 10:54 am",Friday,274865,274732,102,31,133,5,2,25218,9.18%,32364,1099,0.40%,1324,233,53,0,0,e2b9dd0fc1,"7,463.09%",$98.64,"$7,361.28",1358,348,10.653166421208,3.02%,05:17,16.64%,$0.00,117,8.62%,$5.42,$62.92
Heartland,"Private Sale Invitation: 63% off on US-Made Treats.  Hurry.","PetFlow Recurring Customers","Jan 31, 2014 10:54 am",Friday,44100,44070,17,13,30,2,3,6932,15.73%,8958,381,0.86%,441,53,7,0,0,a7ad7c47d4,"24,110.73%",$15.83,"$3,815.61",484,112,14.630165289256,0.41%,06:35,23.55%,$0.00,56,11.57%,$7.88,$68.14
"Save 15% (copy 06)","LAST DAY: SALE on Blue Buffalo, Natural Balance, Wellness, Canidae and 100+ more brands!",PetFlow,"Jan 30, 2014 06:00 pm",Thursday,278202,278036,112,54,166,5,0,27687,9.96%,38452,2168,0.78%,2724,212,44,0,0,63ba1586ef,"20,498.58%",$99.83,"$20,464.40",2747,828,13.226064797961,1.93%,05:36,17.26%,$0.00,237,8.63%,$7.45,$86.35
"Save 15% (copy 06)","LAST DAY: SALE on Blue Buffalo, Natural Balance, Wellness, Canidae and 100+ more brands!","Brand Lists","Jan 30, 2014 07:27 am",Thursday,69998,69846,103,49,152,0,0,9606,13.75%,12843,831,1.19%,1037,271,29,0,0,0c0135a47a,"52,682.24%",$25.12,"$13,233.20",1048,372,15.031488549618,1.53%,05:51,31.30%,$0.00,162,15.46%,$12.63,$81.69
"Antlers (copy 01)","You're invited to try the healthiest treat! - Here's $5 to spend!","PetFlow Recurring Customers","Jan 29, 2014 02:58 pm",Wednesday,50933,50887,23,23,46,5,6,8868,17.43%,11699,433,0.85%,512,67,10,0,0,77e4bacda4,"11,355.67%",$18.28,"$2,075.52",568,126,12.778169014085,1.94%,05:34,9.33%,$0.00,36,6.34%,$3.65,$57.65
"Antlers (copy 01)","You're invited to try the healthiest treat! - Here's $5 to spend!","Pet Deals","Jan 29, 2014 02:57 pm",Wednesday,17113,17103,5,5,10,0,0,1320,7.72%,1733,34,0.20%,43,21,9,0,0,348248ba74,0.00%,$6.14,$0.00,36,16,9.3888888888889,0.00%,03:56,0.00%,$0.00,0,0.00%,$0.00,$0.00
"Antlers (copy 01)","You're invited to try the healthiest treat! - Here's $5 to spend!",LifeScript,"Jan 29, 2014 02:57 pm",Wednesday,63231,63203,18,10,28,0,0,3873,6.13%,5425,60,0.09%,70,41,15,0,0,e16177fb6b,0.00%,$22.69,$0.00,54,30,6.2407407407407,3.70%,01:58,0.00%,$0.00,0,0.00%,$0.00,$0.00
